Date,GOOG,Mkt-RF,SMB,HML,RF,adjclose,SP500_return,bbr,pnlog,stock_return,y,FittedValues,AMZN,HAL,FB,DIS,XOM,MSFT,DB,KO,JPM,MCD,HSBC,AAPL,PFE,ABBV
2019-01-24,1073.90002441406,,,,,,,,,,,,1654.93005371094,,145.830001831055,109.215263366699,65.8946075439453,104.077667236328,8.7092695236206,45.8234176635742,98.7714004516602,,37.6739768981934,149.678253173828,,
2019-01-25,1090.98999023438,0.9,0.45,-0.34,0.01,246.79446411132812,0.8461603546479957,29.3670886075949,-0.0236803264083469,0.8461603546479957,0.8460603546479957,0.8234825187335542,1670.56994628906,,149.009994506836,109.748733520508,66.18994140625,105.028282165527,9.0828046798706,45.5159454345703,99.3962936401367,,38.083381652832,154.638153076172,,73.929328918457
2019-01-28,1070.07995605469,-0.8,-0.17,0.64,0.01,244.91873168945312,-0.7600382887960055,46.497221211627,0.0,-0.7600382887960055,-0.7601382887960055,-0.7549355897937775,1637.89001464844,,147.470001220703,109.472114562988,65.7469482421875,102.980049133301,9.11229515075684,45.3237686157227,99.8673782348633,176.978546142578,37.8650321960449,153.207046508789,37.3571472167969,70.8083877563477
2019-01-29,1060.61999511719,-0.19,-0.02,0.18,0.01,244.59373474121094,-0.13269583179708055,63.6273538156591,0.0129505430628244,-0.13269583179708055,-0.13279583179708054,-0.17949991867853396,1593.88000488281,,144.190002441406,109.56103515625,65.9961166381836,100.882827758789,9.07297420501709,45.5447769165039,100.14616394043,175.600112915039,38.2835311889648,151.619079589844,38.5289840698242,71.1113128662109
2019-01-30,1089.06005859375,,,,,,,,,,,,1670.43005371094,30.1282577514648,150.419998168945,108.800331115723,66.7159881591797,104.25407409668,9.13195419311523,45.9867706298828,100.376907348633,175.214553833008,38.6474456787109,161.979934692383,39.2944641113281,
2019-01-31,1116.36999511719,,,,,,,,,,,,1718.72998046875,,166.690002441406,110.173545837402,67.629638671875,102.343040466309,8.72892951965332,46.2461967468262,99.5020523071289,172.332366943359,38.3290176391602,163.146362304688,40.4670104980469,
2019-02-01,1110.75,0.14,-0.15,0.4,0.01,250.76870727539062,0.04815399147277688,43.5756695277557,0.0,0.04815399147277688,0.04805399147277688,0.15816556144685878,1626.22998046875,,165.710006713867,109.956207275391,70.0660858154297,100.726013183594,8.69944000244141,,99.8673782348633,170.346664428711,37.9469184875488,163.224792480469,40.8769226074219,73.8926086425781
2019-02-04,1132.80004882812,,,,,,,,,,,,1633.31005859375,,169.25,110.450172424316,69.050895690918,103.626853942871,8.65029048919678,47.3223609924316,100.223075866699,171.146728515625,38.1834602355957,167.861190795898,40.4574737548828,
2019-02-05,1145.98999023438,0.43,-0.08,-0.59,0.01,253.59152221679688,0.41919645060963795,23.5239852398524,-0.07900473159065,0.41919645060963795,0.41909645060963796,0.4319353974522515,1658.81005859375,,171.160003662109,111.299789428711,69.7615280151367,105.077285766602,8.74858856201172,47.3319702148438,99.7808532714844,171.166000366211,38.5200729370117,170.733215332031,40.1428909301758,73.1490859985352
2019-02-06,1115.22998046875,,,,,,,,,,,,1640.26000976562,30.5672512054443,170.490005493164,110.064880371094,69.4569854736328,103.911064147949,8.79773807525635,47.3319702148438,99.732780456543,169.826141357422,38.3017272949219,170.792037963867,40.3526153564453,
2019-02-07,1098.7099609375,,,,,,,,,,,,1614.36999511719,,166.380004882812,109.610420227051,68.9216918945312,103.16625213623,8.21777534484863,47.4857063293457,98.4253158569336,168.958587646484,38.046989440918,167.557327270508,39.7520408630371,
2019-02-08,1095.06005859375,,,,,,,,,,,,1588.21997070312,,167.330001831055,110.163673400879,,103.558265686035,8.05066776275635,47.5625762939453,97.4447174072266,,37.9833030700684,167.75422668457,40.2572822570801,
2019-02-11,1095.01000976562,0.14,0.65,0.22,0.01,251.28868103027344,0.05545183861699332,81.2903225806452,0.0288278791153086,0.05545183861699332,0.05535183861699332,0.05819731559142478,1591.0,,165.789993286133,108.118667602539,69.1456527709961,103.146644592285,8.17845630645752,47.668270111084,96.9832611083984,167.975372314453,37.919620513916,166.789474487305,39.732982635498,73.2225189208984
2019-02-12,1121.36999511719,,,,,,,,,,,,1638.01000976562,,165.039993286133,107.881553649902,70.3587341308594,104.753890991211,8.39471340179443,47.7163124084473,98.6368179321289,167.695846557617,38.3017272949219,168.22673034668,39.9141006469727,
