,Date,Mkt-RF,SMB,HML,RF,AAPL,ABBV,AMZN,DB,DIS,GOOG,HAL,HSBC,JPM,KO,MCD,MSFT,PFE,XOM,AAPL_pnlog,ABBV_pnlog,AMZN_pnlog,DB_pnlog,DIS_pnlog,GOOG_pnlog,HAL_pnlog,HSBC_pnlog,JPM_pnlog,KO_pnlog,MCD_pnlog,MSFT_pnlog,PFE_pnlog,XOM_pnlog
796,2018-03-02,0.7,1.16,-0.48,0.006,1.7095453318769174,1.9552734684247735,4.862731666791651,0.5376996441357266,1.1462871120492402,2.06147401393493,1.2263121336827145,1.2954799789601217,1.9588444409268357,1.1440692144807607,1.7500382153021097,2.157195124928863,1.2908851308791374,0.9139301729896446,-0.0158046633185398,0.0,-0.0118038697210138,0.0,0.0075905110986475,-0.0386834745835716,0.028552357241667,-0.0035740370081976,0.0,-0.0147837526270703,-0.0878701329410572,-0.0027122360708674,0.0123541304078741,-0.0106808767864418
797,2018-03-05,1.06,-0.38,0.26,0.006,1.7154639845351836,1.9658115868344166,4.93844794416288,0.5411049553318984,1.150961778833959,2.0844213931125357,1.2324396892915133,1.2910292058497634,1.9889223044600113,1.1485171550861617,1.7826146599092711,2.1708735347646515,1.2969898861764908,0.922640161804985,-0.0041246300274693,0.0007195845532435,-0.0024260172584685,-0.0041735932330035,-0.0036955755245191,0.005844052517833,0.022239879248758698,0.0017183466538298,0.0187957401316575,-0.017351841787775,-0.093154487907083,0.001859788599218,0.0077448771552845,-0.0367016812127976
798,2018-03-06,0.36,0.67,0.09,0.006,1.7140081906676337,1.9471148397467768,4.983923607631447,0.5468939773286058,1.1679908659890728,2.0923124063997207,1.2281603891111423,1.2928619223989668,1.9906508942981018,1.1495640229193946,1.7846211032994497,2.1634544337866695,1.2883715316685056,0.9215514056548413,-0.0060960034450439,0.0,-0.0032635357846271,0.02046613269601,0.0071856632835483,0.0096246077334953,0.0159274012558504,0.0004310197833849,0.0089674984175983,-0.0037359007025420006,-0.0024155041536915,0.0277518330726388,-0.0074145391631066,0.0
799,2018-03-07,0.05,0.79,-0.42,0.006,1.6980970883267397,1.9498344929388782,5.007779190697342,0.5560883457054081,1.1529651700345975,2.1201701672846127,1.2257531913649093,1.28919648930056,1.9832180811790503,1.1466853146188378,1.7985486841562566,2.175973802784628,1.2901670221910027,0.8983252116432053,-0.0122070556613414,-0.0517201164473277,0.0099457408727482,-0.0014376633385914,0.0127962358250981,-0.0115687098829151,0.0079637006279252,-0.0103950247861232,-0.0071244344333813,0.009880040382691,0.0,-0.0086811011620453,0.0051843758597232,0.011912618891957
800,2018-03-08,0.37,-0.48,-0.35,0.006,1.7166277488275083,1.9887564063980512,5.030014528912635,0.5509803789111505,1.1578624067360885,2.151428970639824,1.2305671369138713,1.2852687631555355,1.9833906937933832,1.1631716411703055,1.8228626800205512,2.189187920131174,1.3106347389388289,0.8966314500649811,0.0071040868428043,-0.0213375829656949,-0.0122613420634715,-0.0084481415952682,0.0060076620342114,0.0062937420654857,0.0,-0.0126871879978535,0.0176369030494984,0.031192311737451,0.0,0.0129365057288569,0.0,0.0200604781104315
801,2018-03-09,1.7,-0.26,0.28,0.006,1.7461210254218897,2.0275082381269964,5.117626450101522,0.5489372133038014,1.1656535762549944,2.2164686053721487,1.2567779208223167,1.297312695509325,2.040434158450373,1.1728535644602036,1.8559122713128597,2.2381044770793146,1.3203295125516734,0.9019542176529219,-0.0004265173840048,-0.0587788659375151,-0.0087719297932044,0.0030180412320004,0.0,0.0,0.004159735528447275,-0.0014345184048469,0.0,0.0071597915728662,0.0,-0.02922085718598,-0.0132574065469641,0.0119543086624547
802,2018-03-12,-0.09,0.46,-0.07,0.006,1.7630019831731563,2.0106822246227054,5.180831331262238,0.5485966681106149,1.1705508129564854,2.2249902349949644,1.2549058183881787,1.2931235741422922,2.033865640250367,1.1652646638734347,1.8618130602131604,2.24343651570274,1.3145843804840027,0.9101798518881012,0.002546931883143,0.0,0.0001420324924493,-0.0038722391260727,0.0088004102610793,0.0135976034007222,0.00831947105689455,-0.0002865617331675,0.0330787375985715,0.0,0.0,0.0103857988079662,-0.0041516432704675,0.0038481392144779
803,2018-03-13,-0.67,0.09,0.01,0.006,1.7460238377304544,2.035326703344538,5.147737483982556,0.5376996441357266,1.154523508718253,2.1746820369315807,1.2329744471459803,1.283959991396275,2.009492307959998,1.1663116505338906,1.8674790070437346,2.1887241911036903,1.3196114038635385,0.901591117778778,0.0051407578369007,-0.0178350567966894,-0.0068004998709587,0.0018681247225604,-0.0068421590516502,0.0039916489045894,0.012479206585341825,0.0081698710536955,-0.0232766472388576,0.0146409468817532,0.0417050318308133,0.0123800600449839,0.0,-0.0184635671572896
804,2018-03-14,-0.53,0.24,-0.56,0.006,1.731180400492594,2.0215596792470345,5.156878315890004,0.5346348429488181,1.1564155713022244,2.19631089443656,1.2367188769860085,1.275843528666193,1.9870206400648198,1.1557520693760859,1.867714663830095,2.1757414687194205,1.3052480923296101,0.8903409998754844,-0.0190279466425854,-0.006990603378945951,-0.0048374435254008,-0.0020141338106316,0.0082676159836002,-0.0184218547913251,0.0166389421137891,-0.0076018306982846,-0.0115764946588943,-0.0364681670692918,0.023894042655701,0.0062417581923615,-0.0081544782848586,-0.0194434324176705
805,2018-03-15,-0.18,-0.41,0.31,0.006,1.7332171435044683,1.9534037275363478,5.1287436246289335,0.5346348429488181,1.1490696289334257,2.196482907214194,1.2113104548310152,1.2894578845225684,1.9920337969647588,1.1528479320498408,1.9074911666894958,2.1833925281214372,1.3135071736913684,0.9002605768463172,-0.0170080960807389,0.0038538500387975,-0.0202372626116216,-0.0170176637253797,-0.0053964440864956,-0.0263996771528845,-0.0811581284302245,-0.0010060134178845,0.018538394383164,0.0,0.0086939653067709,-0.018141998102813,0.0,0.0049819324758009
